ProjectNumber,ProjectName,ProjectType,CurrentStatus,ProgramName,MetricCategory,MetricDetail1,MetricDetail2,MetricDetail3,ProposedAnswer,FinalAnswer,UnitTypeName,Action_MetricLevel,ActionSummary_MetricLevel
08-1990,Big Quilcene River ELJ Restoration Phase 2,R,Closed Comp,SALMON FED PROJ,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.25,0.25,Miles,,
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Incidentals,Survey (Acq),Acres surveyed,,2.87,3.04,Acres,Survey,Assessment
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Incidentals,Signs (Acq),Number of permanent signs that identify site and funding partners,,1,0,Number,Incidentals,Unspecified
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,0.57,0.67,Acres,Land Acquisition Easement,Acquisition
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Jobs Created,Number of jobs created by this project,,,1.00,1.00,Number,,
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,0.00,5.34,Acres,Land Acquisition Fee Simple,Acquisition
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,127.00,236.00,Acres,Land Acquisition Fee Simple,Acquisition
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Real Property Acquisition,Project Acres Acquired,,,129.87,244.38,Acres,,
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,2.30,2.37,Acres,Land Acquisition Easement,Acquisition
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Project Acquisition,Project acres by purpose type,,,3.00,244.38,Acres,,
08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,ESRP,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.00,0.10,Miles,,
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Incidentals,Fencing (Acq),Number of miles of fencing to be built,,0.00,0.00,Miles,Livestock,Exclusion
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,64.50,85.30,Acres,Land Acquisition Fee Simple,Acquisition
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Project Acquisition,Miles of shoreline protected,,,0.00,0.54,Miles,,
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,13.10,0.00,Acres,Land Acquisition Fee Simple,Acquisition
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.00,0.55,Miles,,
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,25.00,19.00,Acres,Land Acquisition Fee Simple,Acquisition
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Project Acquisition,Project acres by purpose type,,,0.00,104.30,Acres,,
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Real Property Acquisition,Project Acres Acquired,,,112.40,104.30,Acres,,
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,WWRP - RPA - RP,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,9.80,0.00,Acres,Land Acquisition Fee Simple,Acquisition
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Miles of Road Treated (C.6.b.2),,,0.25,0.25,Miles,,
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Site Stewardship Project,Restored land maintained (C.11.c.1),Acres of restored land maintained (C.11.c.2),,5.2,5.2,Acres,Stewardship,Human
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Road drainage system improvements and reconstruction (C.6.c.1),Miles of Road Treated for drainage improvements and reconstruction (C.6.c.2),,0.25,0.00,Miles,Infrastructure,Human
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Road drainage system improvements and reconstruction (C.6.c.1),Average width of road treated for drainage improvements and reconstruction (C.6.c.3),,0,0,Yards,Infrastructure,Human
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Acres of Upland Habitat Area Treated (C.6.b.1),,,0.7,0.7,Acres,,
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Exclusion devices (C.9.p.1),Acres Treated with exclusion devices (C.9.p.2),,0.1,0.1,Acres,Livestock,Exclusion
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Miles of Shoreline Treated for armor modification/removal (C.9.k.2),,0.20,0.20,Miles,Remove Armor,Shoreline Restoration
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Acres of Shoreline Treated for armor modification/removal (C.9.k.3),,0.3,0.3,Acres,Remove Armor,Shoreline Restoration
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Estuarine plant removal / control (C.9.j.1),Acres of Estuary Treated for plant removal/control (C.9.j.3),,2.5,2.5,Acres,Remove Plants Invasive,Waste
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Regrading of slope (C.9.i.1),Acres of Estuary Treated through slope regrading (C.9.i.2),,2.4,2.4,Acres,Slope,Habitat
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Fish Passage Improvement,Fish passage blockages removed or altered (C.2.c.1),Number of Blockages/Impediments/Barriers Removed/Altered (C.2.c.2),,0,0,Number,Remove Blockage,Fish Passage
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Fish Passage Improvement,Miles Of Stream Made Accessible (C.2.b.1),,,0.00,0.00,Miles,,
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Debris removal (C.9.n.1),Acres Treated for debris removal (C.9.n.2),,0.4,0.4,Acres,Debris,Waste
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,6.0,6.0,Acres,,
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Creation of new estuarine area (C.9.q.1),Acres of Estuary Created (C.9.q.2),,6.0,6.0,Acres,Estuary Made / Floodplain Improved,Summary Metric
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,General restoration activities,Traffic control,Number of days of traffic control,,0,8,Number,Infrastructure,Human
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Fish Passage Improvement,Square Miles Of streambed made accessible (C.2.b.2),,,0.0,0.0,Sq Miles,,
09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,1.20,Number,,
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Fish Passage Improvement,Fish passage blockages removed or altered (C.2.c.1),Number of Blockages/Impediments/Barriers Removed/Altered (C.2.c.2),,0,0,Number,Remove Blockage,Fish Passage
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Estuarine plant removal / control (C.9.j.1),Acres of Estuary Treated for plant removal/control (C.9.j.3),,0.0,0.0,Acres,Remove Plants Invasive,Waste
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Fish Passage Improvement,Miles Of Stream Made Accessible (C.2.b.1),,,0.00,0.00,Miles,,
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Miles of Stream Treated for channel reconfiguration and connectivity (C.4.c.3),,0.63,0.63,Miles,Channel Connectivity,Habitat
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,9.0,9.0,Acres,,
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Incidentals,Survey (Acq),Acres surveyed,,27.00,42.00,Acres,Survey,Assessment
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Creation of new estuarine area (C.9.q.1),Acres of Estuary Created (C.9.q.2),,0.0,5.0,Acres,Estuary Made / Floodplain Improved,Summary Metric
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Miles of Off-Channel Stream Created (C.4.c.4),,0.00,0.00,Miles,Channel Connectivity,Habitat
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Acres Of Channel/Off-Channel Connected Or Added (C.4.c.5),,0.0,0.0,Acres,Channel Connectivity,Habitat
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Fish Passage Improvement,Square Miles Of streambed made accessible (C.2.b.2),,,0.0,0.0,Sq Miles,,
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Instream Pools Created/Added (C.4.c.6),,0,0,Number,Channel Connectivity,Habitat
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.00,0.00,Miles,,
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,0.00,0.00,Acres,Land Acquisition Fee Simple,Acquisition
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.63,0.63,Miles,,
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,0.00,15.00,Acres,,
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,0.00,15.00,Acres,,
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Instream Habitat Project,Streambank stabilization (C.4.e.1),Miles of Streambank Stabilized (C.4.e.3),,0.63,0.33,Miles,Streambank Stablized,Summary Metric
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,0.00,0.00,Acres,,
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,0.00,0.00,Acres,Land Acquisition Easement,Acquisition
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Incidentals,Stewardship plan,Acres included in the stewardship plan,,15.20,0.00,Acres,Stewardship,Human
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Incidentals,Boundary line adjustment,Number of months required to complete the boundary line adjustment,,4,12,Number,Incidentals,Unspecified
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Incidentals,Noxious weed control,Acres treated for noxious weeds by method,,0.00,1.00,Acres,Remove Plants Invasive,Waste
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Incidentals,Signs (Acq),Number of permanent signs that identify site and funding partners,,0,3,Number,Incidentals,Unspecified
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Incidentals,Survey (Acq),Acres surveyed,,15.20,20.00,Acres,Survey,Assessment
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Project Acres Acquired,,,35.11,18.39,Acres,,
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,8.20,0.00,Acres,Land Acquisition Easement,Acquisition
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,7.00,0.00,Acres,Land Acquisition Easement,Acquisition
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Jobs Created,Number of jobs created by this project,,,8.00,0.00,Number,,
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,7.00,13.49,Acres,Land Acquisition Fee Simple,Acquisition
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,12.91,4.90,Acres,Land Acquisition Fee Simple,Acquisition
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Easement,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Project Acquisition,Project acres by purpose type,,,42.00,0.00,Acres,,
09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.47,0.31,Miles,,
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Incidentals,Survey (Acq),Acres surveyed,,10.00,9.82,Acres,Survey,Assessment
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Incidentals,Stewardship plan,Acres included in the stewardship plan,,10.00,9.82,Acres,Stewardship,Human
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.16,0.16,Miles,,
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.20,0.20,Number,,
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,10.00,9.82,Acres,,
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,6.00,5.00,Acres,Land Acquisition Fee Simple,Acquisition
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,10.00,9.82,Acres,,
09-1633,Big Beef Creek Conservation,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,4.00,4.82,Acres,Land Acquisition Fee Simple,Acquisition
09-1639,Union Estuary Johnson Farm Dike Design,P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1639,Union Estuary Johnson Farm Dike Design,P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,5.00,Number,,
09-1639,Union Estuary Johnson Farm Dike Design,P,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,0,8,Number,Permit,Planning
09-1665,Southern Hood Canal Riparian Enhancement Project,R,Closed Comp,SALMON FED PROJ,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,5.00,20.30,Miles,,
09-1665,Southern Hood Canal Riparian Enhancement Project,R,Closed Comp,SALMON FED PROJ,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,220.0,455.9,Acres,,
09-1665,Southern Hood Canal Riparian Enhancement Project,R,Closed Comp,SALMON FED PROJ,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,220.0,241.9,Acres,Remove Plants Invasive,Waste
09-1665,Southern Hood Canal Riparian Enhancement Project,R,Closed Comp,SALMON FED PROJ,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1665,Southern Hood Canal Riparian Enhancement Project,R,Closed Comp,SALMON FED PROJ,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,0.0,255.2,Acres,Riparian,Habitat
09-1665,Southern Hood Canal Riparian Enhancement Project,R,Closed Comp,SALMON FED PROJ,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
09-1668,Corps General Investigation of Skokomish support,P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1668,Corps General Investigation of Skokomish support,P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.00,0.25,Miles,,
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,0.0,5.0,Acres,,
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Fish Passage Improvement,Fish passage blockages removed or altered (C.2.c.1),Number of Blockages/Impediments/Barriers Removed/Altered (C.2.c.2),,0,0,Number,Remove Blockage,Fish Passage
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Fish Passage Improvement,Miles Of Stream Made Accessible (C.2.b.1),,,0.00,0.33,Miles,,
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Fish Passage Improvement,Square Miles Of streambed made accessible (C.2.b.2),,,0.0,0.0,Sq Miles,,
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Fish Passage Improvement,Fish passage blockages removed or altered (C.2.c.1),Average stream width,in feet,35,35,Feet,Remove Blockage,Fish Passage
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Fish Passage Improvement,Number of blockages / impediments / barriers impeding passage (C.2.b.4),,,0,0,Number,,
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Acres Of Streambed Treated for channel structure placement (C.4.d.4),,0.0,12.0,Acres,In-stream Installation,Habitat
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Number of structures placed in channel (C.4.d.7),,0,7,Number,In-stream Installation,Habitat
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Creation of new estuarine area (C.9.q.1),Acres of Estuary Created (C.9.q.2),,0.0,0.0,Acres,Estuary Made / Floodplain Improved,Summary Metric
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Pools Created through channel structure placement (C.4.d.5),,0,7,Number,In-stream Installation,Habitat
