PrimarySponsorName,ProjectNumber,ProjectType,ProjectName,PrimaryProgramName,PrimaryProgramAmount,CurrentProgramIndexList,RCOAmount,SponsorMatchAmount,ProjectTotalAmount,PSARAmount,PSARLargeCapAmount,LeadEntityAmount,ActivityAmount,StateSalmon,FedSalmon,StateActivity,FedActivity,StateLE,FedLE,SnapshotLink,TotalFedFund,TotalStateFund
Jefferson Land Trust,14-1321,Acquisition & Restoration,Lower Big Quilcene River Riparian Protection,Puget Sound Acq. & Restoration,161160,"98401, MATCH",161160,28440,189600,,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=14-1321,,
Jefferson Land Trust,14-1322,Acquisition,Duckabush Riparian Habitat Acquisition,Puget Sound Acq. & Restoration,746000,"98401, MATCH",746000,225500,971500,746000,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=14-1322,,
Great Peninsula Conservancy,14-1326,Acquisition & Restoration,Beards Cove Restoration,Puget Sound Acq. & Restoration,302868,"98103, 98104, 98202, 98401",1009000,0,1009000,302868,,,,1,297131,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=14-1326,297131,1
Mason Conservation Dist,14-1369,Restoration,Skokomish Estuary Restoration Phase 3C,Puget Sound Acq. & Restoration,463600,"98105, 98401",1695529,0,1695529,463600,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=14-1369,,
Hood Canal SEG,14-2214,Planning,Duckabush Estuary Feasibility Study,Estuary & Salmon Restoration,116897,"98105, 98401",183464,0,183464,,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=14-2214,,
Kitsap County Comm Development,14-1375,Planning,West Sound Nearshore Integration & Synthesis,Puget Sound Acq. & Restoration,154054,"98401, MATCH",154054,30777,184831,154054,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=14-1375,,
Bremerton Public Works,14-1949,Planning,Evergreen Park Nearshore Restoration Design,Puget Sound Acq. & Restoration,200000,98401,200000,0,200000,200000,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=14-1949,,
Jefferson County of,15-1189,Acquisition & Restoration,Big Quilcene River Floodplain Key Pieces,Puget Sound Acq. & Restoration,587319,"98401, MATCH",587319,103646,690965,587319,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1189,,
Long Live the Kings,15-1191,Planning,Hood Canal Bridge Impact Assessment,Salmon Federal Projects,173852,"98104, 98401, MATCH",687766,153577,841343,513914,,,,,173852,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1191,173852,
Jefferson County of,15-1192,Restoration,"Salmon Creek Bridge Construction, West Uncas Road",Puget Sound Acq. & Restoration,788800,"98401, MATCH",788800,139200,928000,788800,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1192,,
Mason Conservation Dist,15-1195,Planning,Skokomish Valley Rd Realignment Conceptual Design,Puget Sound Acq. & Restoration,362990,"98401, MATCH",362990,64175,427165,362990,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1195,,
Mason Conservation Dist,15-1196,Planning,Upper SF Skokomish Channel - Floodplain Assessment,Puget Sound Acq. & Restoration,305213,"98401, MATCH",305213,53900,359113,305213,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1196,,
Mason Conservation Dist,15-1197,Restoration,Weaver Creek Reconnection,Puget Sound Acq. & Restoration,199574,"98401, MATCH",199574,152785,352359,199574,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1197,,
Mason Conservation Dist,15-1205,Planning,Lower Mainstem Skokomish LWD Design – HWY 101,Puget Sound Acq. & Restoration,265302,"98401, MATCH",265302,47000,312302,265302,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1205,,
Mid-Puget Sound Fish Enh Grp,15-1074,Planning,Cowling Creek Culverts Replacement Feasibility,Puget Sound Acq. & Restoration,68000,"98401, MATCH",68000,12000,80000,68000,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1074,,
Kitsap County of,15-1075,Planning,Harper Estuary Restoration Final Design,Salmon Federal Projects,50000,"98104, 98401, MATCH",340000,60000,400000,290000,,,,,50000,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1075,50000,
Great Peninsula Conservancy,15-1080,Acquisition,Grovers Creek Protection Phase II,Salmon State Projects,194655,"98103, 98401, MATCH",300000,385650,685650,105345,,,,194655,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1080,,194655
Kitsap County Comm Development,15-1408,Planning,West Sound Watersheds Council Lead Entity 2015-17,Salmon-LE Fed Contracts,45489,"10405, 10407, 98402",194509,0,194509,,,134509,,,,,,14511,45489,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1408,45489,14511
South Puget Sound SEG,15-1107,Planning & Acq & Restore,West Oakland Bay Restoration & Conservation,Puget Sound Acq. & Restoration,1597374,"98401, MATCH",1597374,309125,1906499,1597374,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1107,,
South Puget Sound SEG,15-1182,Restoration,Anderson Creek Enhancement Project 2,Salmon State Projects,122442,"98103, 98401, MATCH",124550,23450,148000,2108,,,,122442,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1182,,122442
Mason Conservation Dist,15-1412,Planning,WRIA14 Salmon Habitat Recovery Lead Entity 2015-17,Salmon-LE Fed Contracts,75369,"10405, 10407, 98402",250429,0,250429,,,144771,,,,,,30289,75369,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1412,75369,30289
Hood Canal Coord Council,15-1348,Operations & Planning,Hood Canal Regional Salmon Recovery Organization,Salmon Federal Activities,717783,"10405, 10407, 98302, 98402",1340537,0,1340537,,,481876,,,,,717783,53705,87173,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=15-1348,717783 87173,53705
