"Study_ID","Study_Name","EIM_Data_Entry_Review_Status","Study_Type","Study_Purpose","Field_Collection_Date_Range","Ecology_Contact","Ecology_Program_or_Other_Responsible_Entity","Ecology_Monitoring_Program","Submitting_Organization","Study_QA_Planning_Level","Study_QA_Project_Plan_Description","Study_QA_Assessment_Level","Study_Result_Description","Study_Comment","Ecology_Funding_Number","Ecology_Facility_Site_ID","Ecology_Cleanup_Site_ID","EPA_STORET_Submit_Date","Record_Created_On"
"TAX91050","Upper Stillaguamish Monitoring/Database","Not Reviewed","Routine ambient monitoring","The Tulalip Tribe conducted water quality monitoring in the upper reaches of the Stillaguamish Watershed to establish a monitoring program in support of the Stillaguamish Early Action Watershed Plan. Twelve sites were selected for monitoring in both the North and South Forks between the years 1990 and 1992.","02/07/1991 - 09/25/1992","Bill Hashim","Ecy Water Quality Program, Northwest Region","","","LEVEL 3: QAPP, SAP, or Equivalent.","","Level 4 - Data Verified and Assessed for Usability in a Formal Study Report","","Grant Number TAX91050","",,,,
"URTMDL","Union River TMDL","Reviewed","Total Maximum Daily Load (TMDL) development","Evaluate and recommend a TMDL strategy including pollutant loading allocations for various sources to meet state water quality standards for fecal coliform and to protect the beneficial uses of the Union River and its tributaries.","01/26/1999 - 12/14/1999","Bill Ward","Ecy Environmental Assessment Program","","","LEVEL 1: Informal or no QA documentation.","","Level 5 - Data Verified and Assessed for Usability in a Peer-Reviewed Study Report","","","",,,,
"VCNW1436","Chevron Service Center #9-5277 (Silver City Texaco), Silverdale, WA","Not Reviewed","Voluntary Cleanup Program (VCP) or independent cleanup at a contaminated site","LUST","02/11/1998 - 10/12/2009","Chris Maurer","Ecy Toxics Cleanup Program, Headquarters","","GHD - Lynnwood WA","LEVEL 1: Informal or no QA documentation.","","Level 2 - Data Verified","","Some of the result reported values are recorded as Zero.  They were desciribed as non-detects from the lab and there were no correlating reporting or etection limits.","",41273858,6033,,
"VCNW1453","Chevron Service Station #9-6142, Bainbridge Island, WA","Not Reviewed","Voluntary Cleanup Program (VCP) or independent cleanup at a contaminated site","LUST","06/27/2000 - 05/13/2012","Mike Kuntz","Ecy Toxics Cleanup Program, Northwest Region","","GHD - Lynnwood WA","LEVEL 1: Informal or no QA documentation.","","Level 2 - Data Verified","","","",25451244,5770,,
"VCNW1454","Chevron Service Center #9-4252 (Vashon East Shopping Center), Vashon, WA","Not Reviewed","Voluntary Cleanup Program (VCP) or independent cleanup at a contaminated site","LUST","08/25/1995 - 09/25/2009","Chris Maurer","Ecy Toxics Cleanup Program, Headquarters","","GHD - Lynnwood WA","LEVEL 1: Informal or no QA documentation.","","Level 2 - Data Verified","","Some result values were recorded as 0 becuase on the original lab report the value was reported as a non-detect and there was no corresponding reporting or detection limit data.","",31784113,5865,,
"VCSW0080","USCG Group Port Angeles Groundwater Sampling","Not Reviewed","Voluntary Cleanup Program (VCP) or independent cleanup at a contaminated site","Investigative groundwater monitoring at Areas A and B at USCG Group Port Angeles (MWH). To determine that the historical method for groundwater sample collection at Area A caused elevated turbidity in samples collected and that this resulted in total lead concentration above cleanup.  Also, to determine wheather TPH-D continues to be isolated beneath the avionics building and that the concentration is decreasing with time.","01/27/2009 - 06/03/2014","Tom Middleton","Ecy Toxics Cleanup Program, Southwest Region","","AMEC Earth and Infrastructure Inc - Seattle WA","LEVEL 1: Informal or no QA documentation.","MWH had a planning level of 3 and a assessment level of 2.","Level 4 - Data Verified and Assessed for Usability in a Formal Study Report","","","",63423475,1589,,
"VCSW0664","Chevron Service Center #9-2553, Sodhi Chevron, Shelton, WA","Not Reviewed","Voluntary Cleanup Program (VCP) or independent cleanup at a contaminated site","LUST-Leaking Underground Storage Tanks.  Installed two groundwater monitoring wells to assess potential hydrocarbon impacts in soil and groundwater near the eastern dispenser island, and to assess the potential for using SVE.","07/24/1991 - 12/09/2013","Scott Rose","Ecy Toxics Cleanup Program, Southwest Region","","GHD - Lynnwood WA","LEVEL 1: Informal or no QA documentation.","","Level 2 - Data Verified","","","",94197779,6904,,
"VCSW1470","Crown Auto Sales, Site investigation data, Belfair, WA","Not Reviewed","Voluntary Cleanup Program (VCP) or independent cleanup at a contaminated site","Submit remedial investigation and supplemental investigation soil and groundwater data to Ecology. This data is basis for feasibility study and implementation of preferred cleanup alternative.","06/02/2010 - 08/10/2016","Carol Johnston","Ecy Toxics Cleanup Program, Southwest Region","","Aspect Consulting LLC - Seattle WA","LEVEL 2: Basic/boiler-plate or generic QA planning document.","","Level 3 – Data Verified and Assessed for Usability","Data is sufficient for development of cleanup alternatives and implementation of the preferred cleanup alternative.","","",6321899,5405,,7/28/2015 12:18:05 PM
"VCSW1490","Purdy Landfill, Groundwater Monitoring","Not Reviewed","Voluntary Cleanup Program (VCP) or independent cleanup at a contaminated site","Groundwater monitoring per post-closure requirements of WAC 173-304-490 and MTCA WAC 173-340.","03/22/2010 - 06/14/2016","Eugene Radcliff","Ecy Toxics Cleanup Program","","SCS Engineers - Bellevue WA","LEVEL 3: QAPP, SAP, or Equivalent.","Groundwater monitoring per post-closure requirements of WAC 173-304-407 and MTCA WAC 173-340.","Level 3 – Data Verified and Assessed for Usability","the analytical testing program is based on the full list of parameters from WAC 173-304-490 with the exception of total coliform.","","",1290,3651,,8/2/2016 3:25:21 PM
"WAR044002_S8D","Pierce County Phase I Municipal Stormwater Permit","Reviewed","Municipal stormwater permit, outfall monitoring","The goal of this stormwater characterization monitoring project is to meet the requirements of Section S8.D of the Phase I Municipal Stormwater Permit. The purpose of the permit is to provide Ecology with information on the pollutant loading and average event mean concentrations from representative basins serviced by municipal storm sewer systems. Each basin is to represent a different land use type, so that pollutant export can be correlated with land use within the basins.","09/25/2010 - 10/18/2013","Chris Montague-Breakwell","Ecy Water Quality Program, Southwest Region","","Pierce County Public Works Surface Water Managemen","LEVEL 4: Approved QAPP or SAP.","Ecology Approved QAPP for S8.D","Level 4 - Data Verified and Assessed for Usability in a Formal Study Report","","","",,,,6/13/2013 2:25:37 PM
"WB1577RIFS","Solid Wood Inc. (West Bay Park) RI/FS, Olympia, WA. Agreed Order # DE-08-TCP SR-5415","Not Reviewed","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Remedial investigation to support West Bay Park development","02/09/2007 - 11/10/2014","Steve Teel","Ecy Toxics Cleanup Program, Southwest Region","","Parametrix Inc - Bremerton WA","LEVEL 3: QAPP, SAP, or Equivalent.","","Level 3 – Data Verified and Assessed for Usability","","","",94656838,4228,,
"WHM_BIO","Biological Monitoring Program","Reviewed","Habitat monitoring, including Status and Trends monitoring","The Freshwater Biological Monitoring Program provides bioassessment services of the ambient biological condition of “reference”, or least disturbed, streams across Washington State.  Data is collected using the protocols for narrow or wide rivers outlined by the Status and Trends Monitoring Program for Watershed Health and Salmon Recovery.  This data is used for long term trend analysis, building assessment models, and providing guidance for restoration and other activities.  Biological resources monitored include benthic macroinvertebrates and periphyton, and we anticipate the addition of other communities sensitive to environmental change.  The Department of Ecology has been collecting biological data since 1993.  The Biological Monitoring Program was established in 2009, with an effort to standardize data quality and improve the coverage of our assessment tools for all regions of Washington State.  Data stored in EIM will meet uniform data quality standards to allow comparison of data among sites and projects, and the use of multiple assessment methods in a statistically defensible manner.","07/13/2010 - 10/06/2014","Karen Adams","Ecy Environmental Assessment Program","","","LEVEL 4: Approved QAPP or SAP.","","Level 3 – Data Verified and Assessed for Usability","","","",,,,
"WHM_BIO_P","Biological Montioring Program--Provisional Data","Not Reviewed","Habitat monitoring, including Status and Trends monitoring","Data from the current study year is held in this study and then rolled into the final study.  The Freshwater Biological Monitoring Program provides bioassessment services of the ambient biological condition of “reference”, or least disturbed, streams across Washington State.  Data is collected using the protocols for narrow or wide rivers outlined by the Status and Trends Monitoring Program for Watershed Health and Salmon Recovery.  This data is used for long term trend analysis, building assessment models, and providing guidance for restoration and other activities.  Biological resources monitored include benthic macroinvertebrates and periphyton, and we anticipate the addition of other communities sensitive to environmental change.  The Department of Ecology has been collecting biological data since 1993.  The Biological Monitoring Program was established in 2009, with an effort to standardize data quality and improve the coverage of our assessment tools for all regions of Washington State.  Data stored in EIM will meet uniform data quality standards to allow comparison of data among sites and projects, and the use of multiple assessment methods in a statistically defensible manner.","07/07/2015 - 10/12/2015","Chad Larson","Ecy Environmental Assessment Program","","","LEVEL 4: Approved QAPP or SAP.","","Level 1 - Data neither Verified nor Assessed for Usability","","","",,,,12/30/2015 10:14:04 AM
"WHM_EPA","Status and Trends Puget Sound Region Sentinel Site Monitoring","Reviewed","Habitat monitoring, including Status and Trends monitoring","Various non-probabilistic projects led by US EPA Region 10 including a Sentinel site project and a project funded by a RARE grant.","07/01/2009 - 08/29/2013","Glenn Merritt","Ecy Environmental Assessment Program","","","LEVEL 4: Approved QAPP or SAP.","","Level 1 - Data neither Verified nor Assessed for Usability","","","",,,,
"WHM_SEN","Status and Trends WA Statewide Sentinel Site Monitoring","Reviewed","Habitat monitoring, including Status and Trends monitoring","This study aims to investigate long-term patterns in stream health at 'least disturbed' sites to determine the impacts of natural shifts in climate, environment, and habitat without the influence of human interference.","07/20/2009 - 10/01/2014","Glenn Merritt","Ecy Environmental Assessment Program","","","LEVEL 4: Approved QAPP or SAP.","Publication Number 06-03-203","Level 1 - Data neither Verified nor Assessed for Usability","","","",,,,
"WHM_WAM0","Washington State Department of Ecology's Status and Trends Habitat Monitoring Project","Reviewed","Habitat monitoring, including Status and Trends monitoring","The goal of S&T is to provide quantitative, statistically valid, and consistent estimates of the status and trends in physical, chemical, and biological conditions of Washington State rivers and streams. The data collected can be used to report on the health of salmonid habitat.","07/07/2009 - 09/08/2014","Glenn Merritt","Ecy Environmental Assessment Program","","WA Department of Ecology","LEVEL 4: Approved QAPP or SAP.","Publication Number 06-03-203","Level 1 - Data neither Verified nor Assessed for Usability","","","",,,,
