Project Description,Performance Summary,Funding Number,Application/Alt Reference Number,"Status
 (I=Inactive/Closed, A=Active)",Funding Fiscal Year,General Project Category,SRF/CBR Project (Needs) Category 1,SRF/CBR Project (Needs) Category 2,SRF/CBR Project (Needs) Category 3,County,WRIA,Leg Dist,Cong Dist,Fund Source,Recipient,Project Title,End Date,Funding Provided,Application Number,Applicant Organization,Project Title,Project Description,Population of the System,Population of the Project,Year of the Population Estimate,ESA_YES_NM,Statewide_PROJ_YES_NM,APP_START_DATE_DT,PROJ_LENGTH_NR,ANT_PROJ_COMP_DATE,INIT_OPER_DATE,Waterbodies Affected,303D List_True_False,303D LISTING_ID1,303D LISTING_ID2,303D LISTING_ID3,303D LISTING_ID4,303D LISTING_ID5,303D LISTING_ID6,303D LISTING_ID7,303D LISTING_ID8,303D LISTING_ID9,303D LISTING_ID10,Addresses Priority Area of Puget Sound Partnership Action Agenda,Area of Puget Sound Partnership Action Agenda Addressed,Affects Endangered Salmonids,Affects Threatened Salmonids,Affects Other Endangered Species,Involves Shellfish Habitat,Involves Domestic Water Supply,Involves Public Health Requirement,Addresses TMDL,Addresses NPDES,Addressing Any Other Needs,Program Plans Being Implemented,GMA Compliance,GMA Compliance Date,Anticipated Date of Reaching GMA Compliance,Wastewater Treatment System,Water Reclamation Reuse,Water Reclaimation Reuse Feasibility Study,Stormwater Pollutant Control Facility,Onsite Repair-Replacement,Combined Sewer Overflow Correction,Other Category of Facility Project,Combined Compr or Gen Sewer or SW Plan with Fac. Plan,Facility Comp. Plan Approval Date,Site Specific Fac. Plan,Site Specific Fac. Plan Approval Date,Facility Design,Facility Design Approval Date,Facility Construction,Facility Construction Approval Date,Facility Design & Construction,Facility Design & Construction Approval Date,Facility Design-Build ,Facility Design-Build Approval Date,Does project address permit requirements,Permit Number,Permit status,Permit BOD Limit,Permit TSS Limit,Facility Design Capacity,Project Involves Reducing A Pollutant Load,Project Improves Dissolved Oxygen,Project Reduces Nitrogen,Project Reduces Phosphorus,Project Reduces Sediment,Project Reduces Fecal Coliform,Project Improves Stream Temp,Other Pollutant Reductions/Improvements,Project Improves Shade,Project Improves Organic Debris,SW_CATEGORY_LID,SW_CATEGORY_Source Control,SW_CATEGORY_RETROFIT,SW_CATEGORY_RETROFIT_LID,SW_CATEGORY_VACTOR WASTE FACILITY,SW_CATEGORY_PRETREATMENT-OIL Control Facility,SW_CATEGORY_Flow Control to Sewers,SW_CATEGORY_TAPE,SW_CATEGORY_OTHER,SW_CATEGORY_READY to Construct,SW_CATEGORY_DSGN Complete,SW_CATEGORY_PRCNT_DESGN_Complete,ACT_Category_AgBMP,ACT_CATEGORY_SW_BMP,ACT_CATEGORY_OTHER_BMPS,ACT_CATEGORY_LAKE Restoration,ACT_CATEGORY_Water Quality Monitoring,ACT_CATEGORY_Riparian Restoration,ACT_CATEGORY_Large Woody Debris,ACT_CATEGORY_Bank Stabilization,ACT_CATEGORY_Public Education,ACT_CATEGORY_OSS Planning-Surveys,ACT_CATEGORY_Groundwater Protection Plan,ACT_CATEGORY_Pilot-Demo,ACT_CATEGORY_Comp Planning,ACT_CATEGORY_OTHER,WATERCAT_Freshwater River,WATERCAT_Freshwater Lake,WATERCAT_Freshwater Wetlands,WATERCAT_Groundwater,WATERCAT_Marine Water,WATERCAT_Saltwater Estuary,WATERCAT_Other Waterbody Types,Latitude,Longitude
"The recipient will reduce total fecal coliform in Gorst Creek, provide sewer collection and treatment initially to approximately 60 homes, and eliminate severe public health hazard or purblic emergency attributable to residences in the project area.",Gorst Sewerage Construction Complete.,L100019A,SA10030,I,2010,Wastewater Facility,New Interceptors (Category IVB),,,KITSAP,15,26,06,CWSRF Loan Program - ARRA,BREMERTON CITY OF,Gorst Sewerage Project - Construction Phase,12/31/10,"$595,476.30",SA10030,Bremerton Public Works and Utilities,Gorst Sewerage Project,"The project is the design and construction of trunk sewers, pump stations, and appurtenances to develop a sanitary sewer collection system for the Gorst Urban Growth Area.",0,162,0,ESA Listed Basin,Not Statewide,39918,16,40421,40344,0,303(d) Listed,0,0,0,0,0,0,0,0,0,0,0,0,0,Threatened Salmonids,Orca,Shellfish Habitat,Domestic Water Supply,0,TMDL Addessed,NPDES Addessed,0,0,GMA Comlpiant,0,Anticipating GMA Compliance for Project Duration,0,0,Not a Feasibility Study,0,On-Site Septic Repair Replacement,0,0,0,0,0,0,0,0,0,0,Step 4: Design & Construction,0,0,0,Project has no Ecology Permit,WA-0029289,0,45,45,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Rivers,Freshwater Lakes,Freshwater Wetlands,Ground Water,0,Saltwater Estuary,0,47.5262,-122.7015
"The recipient will reduce total fecal coliform in Gorst Creek, provide sewer collection and treatment initially to approximately 60 homes, and eliminate severe public health hazard or purblic emergency attributable to residences in the project area.",,L100019B,SA10030,I,2010,Wastewater Facility,New Interceptors (Category IVB),,,KITSAP,15,26,06,CWSRF Loan Program - ARRA,CITY OF BREMERTON,Gorst Sewerage Project - Contruction Phase,12/31/10,"$53,882.70",SA10030,Bremerton Public Works and Utilities,Gorst Sewerage Project,"The project is the design and construction of trunk sewers, pump stations, and appurtenances to develop a sanitary sewer collection system for the Gorst Urban Growth Area.",0,162,0,ESA Listed Basin,Not Statewide,39918,16,40421,40344,0,303(d) Listed,0,0,0,0,0,0,0,0,0,0,0,0,0,Threatened Salmonids,Orca,Shellfish Habitat,Domestic Water Supply,0,TMDL Addessed,NPDES Addessed,0,0,GMA Comlpiant,0,Anticipating GMA Compliance for Project Duration,0,0,Not a Feasibility Study,0,On-Site Septic Repair Replacement,0,0,0,0,0,0,0,0,0,0,Step 4: Design & Construction,0,0,0,Project has no Ecology Permit,WA-0029289,0,45,45,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Rivers,Freshwater Lakes,Freshwater Wetlands,Ground Water,0,Saltwater Estuary,0,47.5262,-122.7015
"The recipient will construct trunk sewers, pump stations, and appurtenances to develop a sanitary sewer collection system for the Gorst Urban Growth area. residences in the project area.",Gorst Sewerage Construction Complete.,L10S0019,SA10030,I,2010,Wastewater Facility,New Interceptors (Category IVB),,,KITSAP,15,26,06,CWSRF Loan Program - ARRA,BREMERTON CITY OF,Gorst Sewerage  Project-Construction Phase,12/31/10,"$4,761,970.95",SA10030,Bremerton Public Works and Utilities,Gorst Sewerage Project,"The project is the design and construction of trunk sewers, pump stations, and appurtenances to develop a sanitary sewer collection system for the Gorst Urban Growth Area.",0,162,0,ESA Listed Basin,Not Statewide,39918,16,40421,40344,0,303(d) Listed,0,0,0,0,0,0,0,0,0,0,0,0,0,Threatened Salmonids,Orca,Shellfish Habitat,Domestic Water Supply,0,TMDL Addessed,NPDES Addessed,0,0,GMA Comlpiant,0,Anticipating GMA Compliance for Project Duration,0,0,Not a Feasibility Study,0,On-Site Septic Repair Replacement,0,0,0,0,0,0,0,0,0,0,Step 4: Design & Construction,0,0,0,Project has no Ecology Permit,WA-0029289,0,45,45,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Rivers,Freshwater Lakes,Freshwater Wetlands,Ground Water,0,Saltwater Estuary,0,47.5262,-122.7015
"The recipient will reduce fecal coliform in Gorst Creek, provide sewer collection and treatment initially to approximately 60 homes, and eliminate severe public health hazard or public emergency attributable to private",Gorst Septic Construction Complete.,L10S0020,SA10031,I,2010,Wastewater Facility,New Collector Sewers (Category IVA),,,KITSAP,15,26,06,CWSRF Loan Program - ARRA,BREMERTON CITY OF,Gorst Septic System Replacement Project-Construction Phase,12/31/10,"$1,451,176.00",SA10031,Bremerton Public Works and Utilities,Gorst Septic System Replacement Project,"The project is design and construction of abandonment of existing septic systems and replacement with low-pressure sewers, grinder pumps and sanitary sewer laterals on private property within the Gorst UGA.",0,162,0,ESA Listed Basin,Not Statewide,39918,16,40421,40344,0,303(d) Listed,0,0,0,0,0,0,0,0,0,0,0,0,0,Threatened Salmonids,Orca,Shellfish Habitat,Domestic Water Supply,0,TMDL Addessed,NPDES Addessed,0,0,GMA Comlpiant,0,Anticipating GMA Compliance for Project Duration,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,Step 4: Design & Construction,0,0,0,Project has no Ecology Permit,WA-0029289,0,45,45,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Rivers,Freshwater Lakes,Freshwater Wetlands,Ground Water,0,Saltwater Estuary,0,47.5262,-122.7015
This project includes the construction of a new .5 million gallon per day wastewater treatment plant and collection system.,Belfair Wastewater and Water Reclamation Facilities Complete.,L10S0026,SA10119,I,2010,Wastewater Facility,Advanced Treatment (Category II),,,MASON,15,35,06,CWSRF Loan Program - ARRA,MASON COUNTY,Belfair Wastewater and Water Reclamation Facilities,12/31/12,"$5,716,829.00",SA10119,Mason County,Belfair Wastewater and Water Reclamation Facilities,"Green Project Reserve (partial) -- Water Efficiency
Shovel Ready/Green Infrastructure Project including construction of a wastewater collection/treatment system for Belfair UGA.  System is designed to eliminate septic tanks within the UGA to address water quality issues associated with Hood Canal.  Wastewater will be treated to Class A reclaimed water standards and irrigated to forest land.",0,900,0,ESA Listed Basin,Not Statewide,39995,24,40725,40603,0,303(d) Listed,7644,6937,6939,0,0,0,0,0,0,0,0,0,0,Threatened Salmonids,0,Shellfish Habitat,0,0,0,0,Nitrogen Reduction in Hood Canal,0,GMA Comlpiant,0,Anticipating GMA Compliance for Project Duration,Wastewater Treatment System,Water Reclamation Reuse,Not a Feasibility Study,Stormwater Pollutant Control,On-Site Septic Repair Replacement,0,Sewer conveyance system,0,0,0,0,0,0,Facility Construction,0,0,0,0,0,Project has no Ecology Permit,N/A - New Wastewater Treatment Facility,To be issued prior to completion. We are working closely with Ecology on type of permit required.,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Direct Marine Water,0,0,47.437,-122.8089
"This project includes the construction of a new 0.5 million gallon per day wastewater and water reclamation facility, collection system, storage ponds, and irrigation system.  The facilities will eliminate over 700 septic tanks within the Belfair Urban Grownth Area.  The wastewater will be treated to Class A reclaimed water standards.  The reclaimed water will be used to irrigate forest land.  The project will address water quality issues associated with failing septic tanks and untreated wastewater reach Hood Canal.","Project deliverables and accomplishments were:
Ensure a competitive bid process; high level construction quality; timely construction completion; compliance with contract requirements; appropriate training of treatment plant operators; completion & submittal of Record Drawings (As-Builts) - Successful bid process and project construction was eventually completed.
Ensure LEED Certification of building; ensure construction of rain gardens; ensure use of permeable pavement; ensure use of native plants in landscaping - LEED certification for building was completed, and rain gardens, permeable pavement, and native plants are in place.
Ensure the constructed facilities conform to the contract documents - Pond and irrigation were constructed in conformance with contract documents.",L1100013,FP11138,I,2011,Wastewater Facility,Secondary Treatment (Category I),Advanced Treatment (Category II),,MASON,15,35,06,CWSRF Loan Program,MASON COUNTY,The Belfair Wastewater and Water Reclamation Facilities,12/31/12,"$1,172,258.12",FP11138,Mason County,Belfair Wastewater and Reclamation Facilities - Const.,"Shovel ready project including construction of a wastewater collection/treatment system for Belfair UGA.  System is designed to eliminate septic tanks withing the UGA to address water quality issues associated with Hood Canal.  Wastewater will be treated to Class A reclaimed water standards and irrigated to forest land.
This project categorically meets green project reserve requirements under green infrastructure and environmentally innovative.  Mason County will be implementing LID features categorically eligible under 1.2-1, establishing natural landscaping features categorically eligible under 1.2-7, and constructing  a LEED certified building categorically eligible under 4.2-5.",0,900,0,ESA Listed Basin,0,39995,24,40725,40603,0,303(d) Listed,7644,6937,6939,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,Hood Canal,0,Threatened Salmonids,0,Shellfish Habitat,0,0,0,0,0,0,GMA Comlpiant,0,Anticipating GMA Compliance for Project Duration,Wastewater Treatment System,Water Reclamation Reuse,Not a Feasibility Study,Stormwater Pollutant Control,On-Site Septic Repair Replacement,0,Sewage Conveyance System,0,0,0,0,0,0,Facility Construction,40016,0,0,0,0,Project has no Ecology Permit,0,under construction,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Direct Marine Water,0,0,47.437,-122.8089
"This project includes the construction of a new 0.5 million gallon per day wastewater and water reclamation facility, collection system, storage ponds, and irrigation system.  The facility will eliminate over 700 septic tanks within the Belfair Urban Growth Area.  The wastewater will be treated to Class A reclaimed water standards.  The reclaimed water will be used to irrigate forest land.  This project will address water quality issues associated with failing septic tanks and untreated wastewater reaching Hood Canal.","Project deliverables and accomplishments were:
Ensure a competitive bid process; high level construction quality; timely construction completion; compliance with contract requirements; appropriate training of treatment plant operators; completion & submittal of Record Drawings (As-Builts) - Successful bid process and project construction was eventually completed.
Ensure LEED Certification of building; ensure construction of rain gardens; ensure use of permeable pavement; ensure use of native plants in landscaping - LEED certification for building was completed, and rain gardens, permeable pavement, and native plants are in place.
Ensure the constructed facilities conform to the contract documents - Pond and irrigation were constructed in conformance with contract documents.",L11S0013,FP11138,I,2011,Wastewater Facility,Secondary Treatment (Category I),Advanced Treatment (Category II),,MASON,15,35,06,CWSRF Loan Program,MASON COUNTY,The Belfair Wastewater and Water Reclamation Facilities,12/31/12,"$129,439.58",FP11138,Mason County,Belfair Wastewater and Reclamation Facilities - Const.,"Shovel ready project including construction of a wastewater collection/treatment system for Belfair UGA.  System is designed to eliminate septic tanks withing the UGA to address water quality issues associated with Hood Canal.  Wastewater will be treated to Class A reclaimed water standards and irrigated to forest land.
This project categorically meets green project reserve requirements under green infrastructure and environmentally innovative.  Mason County will be implementing LID features categorically eligible under 1.2-1, establishing natural landscaping features categorically eligible under 1.2-7, and constructing  a LEED certified building categorically eligible under 4.2-5.",0,900,0,ESA Listed Basin,0,39995,24,40725,40603,0,303(d) Listed,7644,6937,6939,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,Hood Canal,0,Threatened Salmonids,0,Shellfish Habitat,0,0,0,0,0,0,GMA Comlpiant,0,Anticipating GMA Compliance for Project Duration,Wastewater Treatment System,Water Reclamation Reuse,Not a Feasibility Study,Stormwater Pollutant Control,On-Site Septic Repair Replacement,0,Sewage Conveyance System,0,0,0,0,0,0,Facility Construction,40016,0,0,0,0,Project has no Ecology Permit,0,under construction,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Direct Marine Water,0,0,47.437,-122.8089
"Current ON-SITE system are over capacity and unable to handle increased loads of expected development in residential, community services, and commercial areas of the Port Gamble S'Klallam Reservation. This facility planning project will quantify anticipated wastewater needs, cost feasibility, and analyze alternatives for achieving needed capacity in a financially prudent and environmentally beneficial manner.","This project developed a facilities plan that was approved by Ecology, public meetings were held, SEPA determination was made, and the capital improvement program was developed.",L1200020,FP12084,I,2012,Wastewater Facility,Secondary Treatment (Category I),,,KITSAP,15,23,01,CWSRF Loan Program,PORT GAMBLE S'KLALLAM TRIBE,S’Klallam Reservation Wastewater Facility Plan,1/10/14,"$156,947.26",FP12084,Port Gamble S'Klallam Tribe,S'Klallam Reservation Wastewater Facility Plan,"Current system is over capacity and unable to handle increased loads of expected development in residential, community services, and commercial areas of the Reservation. This facility planning project will quantify anticipated wastewater needs, cost feasibility, and analyze alternatives for achieving needed capacity in a financially prudent and environmentally beneficial manner.",5000,5000,0,ESA Listed Basin,Puget Sound,40725,24,41456,0,0,303(d) Listed,508085,508082,508083,0,0,0,0,0,0,0,0,0,Endangered Salmonid,Threatened Salmonids,0,Shellfish Habitat,0,0,TMDL Addessed,0,0,0,Not GMA Compliant,0,0,Wastewater Treatment System,0,Not a Feasibility Study,0,0,0,Wastewater facility planning,0,0,Site Specific Fac. Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Does Not Involve Load Reduction,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Wetlands,Ground Water,Direct Marine Water,Saltwater Estuary,0,47.854261,-122.583758
"Mason County will use the money to design and construct 11 lateral sewers, ready to connect to clusters of properties.  These additional connections will route wastewater from an equivalent of 92 septic systems to the new treatment facility.",Belfair Phase 1 Collection System Complete.,L1200025,FP12070,I,2012,Wastewater Facility,New Collector Sewers (Category IVA),,,MASON,15,35,06,CWSRF Loan Program,MASON COUNTY,Belfair Water Reclamation Facilities - Get Connected (Phase 1),12/31/13,"$146,275.12",FP12070,Mason County,Belfair Water Reclamation Facilities—Get Connected,"An essential component of the Belfair Water Reclamation project includes design and construction of 11 lateral sewers, ready to connect to clusters of properties. These additional connections will divert wastewater from an equivalent of 92 septic systems to the treatment facility.",900,230,0,ESA Listed Basin,Puget Sound,40664,9,40940,40940,Hood Canal,0,6937,6939,7644,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,Hood Canal,0,Threatened Salmonids,0,Shellfish Habitat,0,0,0,0,Puget Sound nitrogen reduction,0,GMA Comlpiant,0,Anticipating GMA Compliance for Project Duration,Wastewater Treatment System,Water Reclamation Reuse,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,Step 4: Design & Construction,39255,0,0,Project has no Ecology Permit,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Direct Marine Water,0,0,47.437,-122.8089
"Mason County will use the money to design and construct 11 lateral sewers, ready to connect to clusters of properties.  These addiitonal connections will route wastewater from an equivalent of 92 septic systems to  the new treatment facility.",Belfair Phase 1 Collection System Complete.,L12S0025,FP12070,I,2012,Wastewater Facility,New Collector Sewers (Category IVA),,,MASON,15,35,06,CWSRF Loan Program,MASON COUNTY,Belfair Water Reclamation Facilities - Get Connected (Phase 1),12/31/13,"$978,918.65",FP12070,Mason County,Belfair Water Reclamation Facilities—Get Connected,"An essential component of the Belfair Water Reclamation project includes design and construction of 11 lateral sewers, ready to connect to clusters of properties. These additional connections will divert wastewater from an equivalent of 92 septic systems to the treatment facility.",900,230,0,ESA Listed Basin,Puget Sound,40664,9,40940,40940,Hood Canal,0,6937,6939,7644,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,Hood Canal,0,Threatened Salmonids,0,Shellfish Habitat,0,0,0,0,Puget Sound nitrogen reduction,0,GMA Comlpiant,0,Anticipating GMA Compliance for Project Duration,Wastewater Treatment System,Water Reclamation Reuse,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,Step 4: Design & Construction,39255,0,0,Project has no Ecology Permit,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Direct Marine Water,0,0,47.437,-122.8089
Ridgetop Boulevard will be retrofitted withmultiple bioretention cells to treat 18 acres of impervious surfaces including 11 acres of medium use roadway.,,L1400019,FP14010,A,2014,Stormwater,Urban (Category VII-D),,,KITSAP,15,23,01,CWSRF Loan Program,KITSAP COUNTY,Ridgetop Boulevard Green Street Retrofit,12/31/17,"$1,125,000.00",FP14010,Kitsap County,Ridgetop Boulevard Green Street Retrofit,Ridgetop Boulevard is a moderate use roadway built in the 1980's. It will be retrofitted with 13 bioretention cells. The soils are infiltrative and up to 18 acres of impervious surfaces will receive water quality treatment and flow control.,200000,17000,0,Not an ESA Listed Basin,0,41608,25,42369,0,0,0,38576,0,0,0,0,0,0,0,0,0,0,0,Endangered Salmonid,0,0,Shellfish Habitat,0,0,TMDL Addessed,0,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Involves Load Reduction,Maintains Dissolved Oxygen,Reduces Nitrogen,0,Reduces Sediment,Reduces Fecal Coliform,0,"Metals, PAH's, oils, grease",FALSE,FALSE,Stormwater LID,0,Stormwater Retrofit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public Education and/or Outreach,0,0,0,0,0,Freshwater Rivers,0,0,0,Direct Marine Water,Saltwater Estuary,0,47.67037,-122.66666
Ridgetop Boulevard will be retrofitted with multiple bioretention cells to treat 18 acres of impervious surfaces including 11 acres of medium use roadway.,,L14S0019,FP14010,A,2014,Stormwater,Urban (Category VII-D),,,KITSAP,15,23,01,CWSRF Loan Program,KITSAP COUNTY,Ridgetop Boulevard Green Street Retrofit,12/31/17,"$375,000.00",FP14010,Kitsap County,Ridgetop Boulevard Green Street Retrofit,Ridgetop Boulevard is a moderate use roadway built in the 1980's. It will be retrofitted with 13 bioretention cells. The soils are infiltrative and up to 18 acres of impervious surfaces will receive water quality treatment and flow control.,200000,17000,0,Not an ESA Listed Basin,0,41608,25,42369,0,0,0,38576,0,0,0,0,0,0,0,0,0,0,0,Endangered Salmonid,0,0,Shellfish Habitat,0,0,TMDL Addessed,0,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Involves Load Reduction,Maintains Dissolved Oxygen,Reduces Nitrogen,0,Reduces Sediment,Reduces Fecal Coliform,0,"Metals, PAH's, oils, grease",FALSE,FALSE,Stormwater LID,0,Stormwater Retrofit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public Education and/or Outreach,0,0,0,0,0,Freshwater Rivers,0,0,0,Direct Marine Water,Saltwater Estuary,0,47.67037,-122.66666
,"Purpose:  The project comprised of axpansion of the City's wastewater treatment plant in order to make it possible to connect existing on-site sewer systems to the expanded plant and reduce non-point sources of pollution to gig Harbor. Results:  1) Upgraded the wastewater treatment plant capacity from 0.7 MGD to 1.6 MGD.  New treatment units include headworks, degritter, stabilization basin, fine buble diffusion system, secondary clarifiers, dechlorination system, centrifuge, polymer syste, and odor control system.  2) Improved the reliability of treating additional wastewater discharged to the plant, and  3) Made it possible to extend sewer service to existing unsewered developments within the City limits and outlying areas.",L9400001,SRF94005,I,1994,Wastewater Facility,,,,PIERCE,15,26,06,CWSRF Loan Program,GIG HARBOR CITY OF,WASTEWATER TREATMENT PLANT EXPANSION,7/1/95,"$890,851.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
The scope of the project was to design and construct a new collection and wastewater treatment facility meeting current water quality standards.,"A new wastewater facility was constructed and is fully operational.  In addition to the original homes the Lynnwood Center, a retirement facility, which was discharging raw sewage has been hooked up to the new wastewater system eliminating an additional source of pollution.",L9400011,SRF94011,I,1994,Wastewater Facility,,,,KITSAP,15,23,01,CWSRF Loan Program,KITSAP COUNTY SD #7,WASTEWATER FACILITY CONSTRUCTION,12/12/96,"$1,772,496.24",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
The purpose of this project is to provide a local loan fund for financial assistance to home owners to repair failing sewage disposal systems and to small farms to implement best management practices with regard to protecting water quality.  The area of assistance will be countywide with priority being given to protection of drinking water and marine shoreline areas.  Promissory Note and lien against the property will secure loans.  Initial verification of system failure and repair construction inspections will be done by Health district Environmental Health Specialists.  Cost of the program will be covered by a combination of permit fees and interest collected on loans.  Payment on loans will be made through the Health District accounting office.,"Thirty-five loans were issued to correct failing on-site systems; $300,000 was the total issued loan amount; 35 on-site system repairs were completed; There were no loans issued to correct agriculture runoff problems.",L9400018,SRF94004,I,1994,Nonpoint Source Activity,,,,KITSAP,15,26,06,CWSRF Loan Program,BREMERTON-KITSAP CO HEALTH DIST,WATER QUALITY IMPROVEMENT LOAN PROGRAM System Repairs/Implementation of BMP''''''''s,4/30/97,"$300,000.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
